"GDP, current prices (Billions of U.S. dollars)",1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Hungary,21.774,21.111,21.378,24.624,27.064,29.615,30.234,34.264,34.651,38.616,40.007,43.023,46.301,46.538,47.178,48.662,49.075,47.209,53.697,67.561,85.05,103.695,112.589,114.801,139.198,157.291,129.965,130.258,140.172,127.171,134.677,139.343
Iceland,2.808,2.905,3.028,4.038,5.595,6.182,5.736,6.545,6.994,7.154,6.272,6.438,7.174,7.52,7.596,8.468,8.931,8.946,8.144,9.2,11.304,13.709,16.691,17.043,21.295,17.64,12.887,13.255,14.675,14.219,15.479,17.179
India,222.049,215.556,237.618,252.751,283.75,299.645,300.187,326.608,274.842,293.262,284.194,333.014,366.6,399.791,423.189,428.767,466.841,476.636,493.934,523.768,618.369,721.589,834.218,949.118,1238.7,1224.096,1365.373,1708.46,1823.052,1827.637,1856.721,2035.393
Indonesia,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.428,279.556,310.815,396.293,470.144,558.582,577.539,755.256,892.59,919.002,916.646,891.051
Iran,154.074,158.48,177.575,206.833,275.119,314.59,375.448,571.821,300.023,49.196,64.75,82.127,116.026,157.889,185.619,208.109,276.334,364.895,331.795,129.373,152.74,182.558,222.155,263.168,339.573,392.759,396.681,462.41,577.214,389.199,396.408,423.409
Iraq,40.6,46.8,48.28,47.13,56.61,62.5,65.64,179.9,155.643,131.386,107.129,82.871,58.614,34.357,10.1,10.469,18.449,25.857,18.936,18.97,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651
Ireland,20.595,19.864,21.152,28.363,33.626,36.838,37.995,48.148,48.801,54.864,50.838,55.784,69.186,75.844,82.873,90.169,98.787,100.109,109.201,128.371,164.555,194.127,211.995,232.365,270.374,276.417,236.951,222.337,239.14,225.497,239.076,258.041
Israel,30.185,28.576,26.559,32.696,39.052,48.377,49.222,58.082,65.887,73.624,73.996,84.468,100.344,109.959,114.727,115.98,117.189,132.339,130.708,121.069,126.864,135.446,142.463,153.967,178.707,215.839,207.417,233.611,261.627,257.295,292.492,308.415
Italy,449.739,444.306,458.982,650.037,815.836,903.851,939.875,1173.063,1239.527,1314.814,1057.442,1090.596,1171.51,1309.315,1240.578,1268.032,1250.203,1145.109,1163.316,1270.994,1572.653,1800.756,1855.834,1944.339,2206.109,2402.062,2190.7,2129.021,2278.376,2073.971,2131.157,2155.153
Jamaica,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.516,5.529,6.543,7.046,8.076,8.462,8.496,8.696,8.835,9.332,8.994,9.743,10.756,11.468,12.881,13.743,12.107,13.192,14.409,14.761,14.203,13.863
Japan,1224.235,1298.221,1388.519,2061,2495.962,3027.461,3029.947,3110.14,3558.957,3879.48,4448.949,4907.582,5450.805,4834.019,4415.715,4034.448,4546.05,4887.301,4304.758,4115.197,4447.378,4815.772,4755.98,4530.475,4515.264,5037.91,5231.384,5700.099,6157.46,6203.213,5155.716,4848.733
Jordan,4.922,4.972,5.001,6.404,6.751,6.324,4.252,4.161,4.345,5.369,5.532,6.197,6.65,6.928,7.246,7.912,8.149,8.461,8.975,9.582,10.196,11.411,12.589,15.057,17.111,21.963,23.82,26.425,28.84,30.981,33.641,35.878
Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.875,5.152,11.648,16.594,20.893,22.13,21.624,16.87,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.441,115.309,148.047,192.626,207.999,236.635,221.416
Kenya,8.47,8.788,8.746,10.387,11.387,11.806,11.705,12.18,11.501,11.327,7.869,9.422,11.944,13.565,13.742,15.739,14.353,14.136,14.536,14.764,16.796,18.064,21.001,25.826,31.958,35.895,37.022,40,41.672,50.422,55.126,61.544
Kiribati,0.038,0.042,0.032,0.031,0.073,0.045,0.044,0.043,0.047,0.048,0.047,0.055,0.056,0.067,0.067,0.066,0.069,0.068,0.063,0.072,0.091,0.103,0.112,0.109,0.131,0.142,0.132,0.154,0.176,0.186,0.183,0.178
South Korea,87.027,96.596,100.288,115.537,146.132,196.972,243.508,279.215,325.713,350.078,386.292,455.645,556.449,598.063,557.547,374.14,485.257,561.595,533.188,609.017,680.581,764.892,898.137,1012.044,1122.679,1002.219,901.935,1094.499,1202.464,1222.807,1305.605,1411.334
Kuwait,20.317,21.457,21.54,17.376,20.817,19.281,23.855,18.293,10.826,19.866,23.996,24.796,27.189,31.492,30.35,25.944,30.123,37.721,34.886,38.135,47.844,59.439,80.807,101.559,114.677,147.402,105.992,115.401,154.02,174.066,174.179,162.695
Kyrgyzstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467
Laos,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.259,2.649,3.049,3.915,4.757,5.948,6.431,7.504,8.963,10.195,11.974,13.266
Latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.694,2.728,4.532,5.41,5.97,6.527,7.178,7.534,7.948,8.351,9.553,11.753,14.377,16.949,21.466,30.946,35.763,26.238,23.809,28.496,28.141,30.26,31.402
Lebanon,3.66,4.327,3.614,2.817,3.298,3.314,2.718,2.838,4.452,5.546,7.535,9.11,11.119,12.997,15.745,17.289,17.405,17.248,17.595,19.091,19.749,21.146,21.49,22.049,24.873,29.228,35.477,38.42,40.076,43.869,46.014,47.833
Lesotho,0.446,0.399,0.319,0.366,0.478,0.543,0.564,0.681,0.772,0.896,0.894,0.943,1.06,1.004,1.058,0.975,0.957,0.93,0.853,0.777,1.155,1.472,1.641,1.735,1.955,1.937,2.023,2.624,2.96,2.81,2.655,2.587
Libya,31.963,29.93,29.44,23.987,22.294,25.067,26.594,30.644,33.908,34.358,30.921,28.796,32.69,35.683,36.531,29.96,35.975,38.271,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262
Luxembourg,4.491,4.403,4.564,6.644,8.246,9.34,9.946,12.68,13.743,15.395,15.781,17.561,20.659,20.549,18.506,19.343,21.174,21.326,21.291,23.7,29.614,34.732,37.411,42.451,50.959,56.114,51.501,53.312,60.06,56.709,61.827,66.403
Madagascar,3.512,2.939,2.858,3.258,2.566,2.442,2.498,3.081,2.677,3.001,3.371,2.977,3.16,3.995,3.546,3.738,3.721,3.878,4.53,4.397,5.474,4.364,5.039,5.516,7.343,9.413,8.55,8.73,9.893,9.92,10.602,10.674
Malawi,2.121,2.095,1.962,2.048,2.013,2.314,2.639,2.999,3.821,3.12,3.591,2.081,2.423,3.956,4.619,3.036,3.08,3.023,2.967,3.496,3.211,3.476,3.656,3.998,4.431,5.321,6.195,6.957,7.984,5.981,5.432,6.055
Malaysia,32.286,36.568,33.612,29.879,34.046,37.315,41.095,46.575,52.765,63.521,71.837,79.985,95.395,108.3,107.57,77.508,84.996,100.719,99.639,108.296,118.344,133.966,148.245,168.084,199.96,238.645,208.914,255.024,297.961,314.443,323.276,338.066
